,id
58182,1267576652181245952
58183,1267576651262681091
58184,1267576643779952641
58185,1267576629309714433
58186,1267576624276480002
58187,1267576610653429760
58188,1267576593251270656
58189,1267576578734686208
58190,1267576577438728193
58191,1267576569645711361
58192,1267576545742409729
58193,1267576521318977536
58194,1267576511609081858
58195,1267576504860508161
58196,1267576500817145856
58197,1267576499021975552
58198,1267576492415954952
58199,1267576480436977670
58200,1267576479518543876
58201,1267576449290178560
58202,1267576445087485952
58203,1267576436640137216
58204,1267576432236138497
58205,1267576432030556165
58206,1267576428754763778
58207,1267576427660087303
58208,1267576420160671744
58209,1267576406445260803
58210,1267576405820399616
58211,1267576392843243526
58212,1267576389760319493
58213,1267576383716372482
58214,1267576383427002369
58215,1267576371603259392
58216,1267576369447387138
58217,1267576361352339457
58218,1267576353597140992
58219,1267576347561508869
58220,1267576344755474433
58221,1267576344642289665
58222,1267576344419995661
58223,1267576322076938240
58224,1267576321745584135
58225,1267576310844489735
58226,1267576291122991109
58227,1267576285515206658
58228,1267576267190292484
58229,1267576265818746880
58230,1267576256511574024
58231,1267576248336859139
58232,1267576247342817290
58233,1267576241911185408
58234,1267576237087694855
58235,1267576228653019140
58236,1267576225804976136
58237,1267576213700313096
58238,1267576204913266688
58239,1267576193181679623
58240,1267576185778778113
58241,1267576175943188480
58242,1267576173686636545
58243,1267576173040668672
58244,1267576161040826368
58245,1267576156229902341
58246,1267576155684683778
58247,1267576155449614336
58248,1267576151779749888
58249,1267576149175160832
58250,1267576138462879745
58251,1267576129805746177
58252,1267576129428299776
58253,1267576114811191296
58254,1267576105965424642
58255,1267576102601609218
58256,1267576102081507334
58257,1267576097430011906
58258,1267576093596319744
58259,1267576090442244108
58260,1267576086604451840
58261,1267576071542714368
58262,1267576066249568262
58263,1267576046288883716
58264,1267576039842238468
58265,1267576037472440320
58266,1267576035660517376
58267,1267576028370808833
58268,1267576017247449088
58269,1267575993650348033
58270,1267575989183315968
58271,1267575987069423616
58272,1267575984863272966
58273,1267575982896054278
58274,1267575971999342603
58275,1267575958514606080
58276,1267575952978124800
58277,1267575950344101888
58278,1267575949425606657
58279,1267575944207896578
58280,1267575935571820545
58281,1267575930987450368
58282,1267575911253188613
58283,1267575910024216582
58284,1267575907566456834
58285,1267575895730126849
58286,1267575890231296020
58287,1267575876494950401
58288,1267575871524790272
58289,1267575868244791301
58290,1267575864813912066
58291,1267575851492741120
58292,1267575849555054594
58293,1267575845192957957
58294,1267575840520507393
58295,1267575839333507074
58296,1267575828914868230
58297,1267575825836249088
58298,1267575820798885891
58299,1267575814218043394
58300,1267575810338295811
58301,1267575801400176641
58302,1267575795859537921
58303,1267575794680967168
58304,1267575789970743297
58305,1267575786283950082
58306,1267575783477907456
58307,1267575782421008385
58308,1267575768764342276
58309,1267575766914605059
58310,1267575758635048960
58311,1267575726900940801
58312,1267575720915673091
58313,1267575690691596292
58314,1267575686128115712
58315,1267575673230630914
58316,1267575669178929154
58317,1267575660010225670
58318,1267575644885524483
58319,1267575633527406592
58320,1267575628578148353
58321,1267575625520484352
58322,1267575619832950793
58323,1267575617945559040
58324,1267575598551044102
58325,1267575588795158533
58326,1267575587788525568
58327,1267575571086802945
58328,1267575561934835715
58329,1267575558193451018
58330,1267575557346263051
58331,1267575553122598918
58332,1267575552069775362
58333,1267575535800115202
58334,1267575531396116480
58335,1267575527445061634
58336,1267575523997253634
58337,1267575504753868800
58338,1267575495480180736
58339,1267575492439347206
58340,1267575491625725955
58341,1267575487141904386
58342,1267575467831427072
58343,1267575467621711873
58344,1267575462387212293
58345,1267575449804328960
58346,1267575449091178496
58347,1267575446134292482
58348,1267575434050486275
58349,1267575420540592128
58350,1267575418439294977
58351,1267575407194320897
58352,1267575397685891072
58353,1267575395827748867
58354,1267575394275856385
58355,1267575391398563842
58356,1267575384972963841
58357,1267575373585358849
58358,1267575364227866628
58359,1267575363879735303
58360,1267575361275138048
58361,1267575357223378946
58362,1267575343688364033
58363,1267575339271798789
58364,1267575324113543168
58365,1267575320229621764
58366,1267575316006031361
58367,1267575305306353664
58368,1267575297911721985
58369,1267575275455418369
