,id
0,1269729484749619202
1,1269729200698728449
2,1269729147737321477
3,1269729003121844224
4,1269728929302097921
5,1269728803972055040
6,1269728528024682497
7,1269728412807180289
8,1269728384214536193
9,1269728163246026753
10,1269728128357863424
11,1269727921633144833
12,1269727848367116291
13,1269727828188237824
14,1269727747368255488
15,1269727686240407562
16,1269727446758293506
17,1269727214427308033
18,1269727177412685824
19,1269727032541396993
20,1269727017207058443
21,1269726999431520261
22,1269726962240684034
23,1269726931500630017
24,1269726930959466498
25,1269726819189698572
26,1269726686356148224
27,1269726662482108419
28,1269726587240538120
29,1269726578579300353
30,1269726492638023697
31,1269726487453806594
32,1269726445561171969
33,1269726381052657666
34,1269726351868788743
35,1269725834300010501
36,1269725705572683779
37,1269724994680094722
38,1269724970906681345
39,1269724897149947904
40,1269724895912636417
41,1269724893165367297
42,1269724890535473152
43,1269724793504481284
44,1269724688181231616
45,1269724585559240706
46,1269724425479430146
47,1269724301370052610
48,1269724293086302208
49,1269724220755456001
50,1269724191441522689
51,1269724188308365316
52,1269724152237342727
53,1269724002504802306
54,1269723992451158023
55,1269723969097269249
56,1269723903137628161
57,1269723893897596929
58,1269723885940998145
59,1269723783247560704
60,1269723779346894848
61,1269723674447360000
62,1269723630444961793
63,1269723547443826688
64,1269723282158301184
65,1269723216186048512
66,1269722894323585024
67,1269722884668350464
68,1269722698747449345
69,1269722680628051973
70,1269722633626681344
71,1269722291941892097
72,1269722255640211462
73,1269722011154239488
74,1269721918162251776
75,1269721723064266753
76,1269721572987875337
77,1269721275645255694
78,1269721236642443270
79,1269721205575163906
80,1269720870748131331
81,1269720725776150530
82,1269720708608921609
83,1269720375711203330
84,1269720333067542528
85,1269720322401583109
86,1269720298103988224
87,1269720266386681856
88,1269720118692581377
89,1269720020986232832
90,1269720010030755840
91,1269719958881271809
92,1269719827700240384
93,1269719795223736322
94,1269719710192545792
95,1269719681327398912
96,1269719619427880960
97,1269719570044063745
98,1269719498413821960
99,1269719470001524736
100,1269719411369234432
101,1269719376741236737
102,1269719374216167424
103,1269719106158198794
104,1269718916567371777
105,1269718866441232385
106,1269718763869474819
107,1269718719271505922
108,1269718592821645312
109,1269718548903014400
110,1269718450768838656
111,1269718249752666113
112,1269718141807890433
113,1269718128566681600
114,1269718048526778368
115,1269717838723457026
116,1269717819429728260
117,1269717785904656385
118,1269717783086010375
119,1269717661530968065
120,1269717454063915015
121,1269717272169496584
122,1269717176338067457
123,1269717160995237888
124,1269717155626573831
125,1269717087276208131
126,1269716958129332224
127,1269716702582972425
128,1269716667682172931
129,1269716667216560146
130,1269716621976838146
131,1269716609054248961
132,1269716518587293696
133,1269716474748379138
134,1269716460823359492
135,1269716242455199749
136,1269715976267853824
137,1269715860358340609
138,1269715768436035586
139,1269715647057072129
140,1269715381175889920
141,1269715271876595712
142,1269715253874622465
143,1269714949422698498
144,1269714928023359489
145,1269714866798985217
146,1269714701564416000
147,1269714583884910592
148,1269714548388433923
149,1269714498270695425
150,1269713916583727113
151,1269713797650014210
152,1269713651855962114
153,1269713513079025672
154,1269713267150196737
155,1269713116620873728
156,1269713088409931783
157,1269712982864527369
158,1269712829969502208
159,1269712685362536448
160,1269712475831836675
161,1269712234722275328
162,1269712214484803585
163,1269712076198404096
164,1269712037686411266
165,1269711989376536576
166,1269711926667415553
167,1269711907176538114
168,1269711894752960514
169,1269711718189600769
170,1269711548722941954
171,1269711525046083584
172,1269711519773872129
173,1269711407332970501
174,1269711383555424257
175,1269711305453297667
176,1269710794842935303
177,1269710745324969986
178,1269710422007058434
179,1269710389798932480
180,1269710366612819968
181,1269710044775530497
182,1269710034650497026
183,1269709683704692737
184,1269709454385315841
185,1269709348235853825
186,1269709084254711809
187,1269709051476180994
188,1269708950674591746
189,1269708875206463490
190,1269708798425513984
191,1269708668888649730
192,1269708615608406016
193,1269708520649261060
194,1269708486964846599
195,1269708391196364803
196,1269708383902367745
197,1269708245821775875
198,1269708176523440129
199,1269708144797769730
200,1269708087151046656
201,1269708082059382785
202,1269707984109744132
203,1269707940220547078
204,1269707881710002176
205,1269707664034054144
206,1269707602189000705
207,1269707528989966338
208,1269707485096574976
209,1269707475428794375
210,1269707240568750080
211,1269707094174961666
212,1269706954345189376
213,1269706343172235265
214,1269706317649895432
215,1269706280597368838
216,1269706268392001537
217,1269706078494896137
218,1269706062317355013
219,1269705634427162625
220,1269705614621638661
221,1269705423172632576
222,1269705259838050305
223,1269705203659542534
