,start_window,tweet_ids,n_tweets
0,2020-06-03 14:00:06,"[1268150465512038403, 1268150470494871556, 1268150484713570304, 1268150504670011392, 1268150517500346368, 1268150558994706432, 1268150610253275138, 1268150614342750208, 1268150637180616706, 1268150718705340416, 1268150720055869440, 1268150795536683008, 1268150940684759042, 1268150985454649344, 1268150996053692418, 1268151053566042113, 1268151184919089153, 1268151206498775047, 1268151220105097216, 1268151220574642176, 1268151222680334336, 1268151241244315649, 1268151341286862850, 1268151348094283776, 1268151397721276417, 1268151404214071297, 1268151481397583875, 1268151651606704128, 1268151652806246402]",29
1,2020-06-03 14:05:06,"[1268151959002939397, 1268152001021513729, 1268152003991044099, 1268152021930180609, 1268152069233532928, 1268152091450753024, 1268152154629509121, 1268152259470336002, 1268152390672359425, 1268152403729276928, 1268152521337516032, 1268152575066550274, 1268152589075578881, 1268152601239060482, 1268152660991135749, 1268152661318262785, 1268152696764325889, 1268152716922105858, 1268152751583870976, 1268152811088478213, 1268152820349493249, 1268152822274588672, 1268152833108594689, 1268152834756919300, 1268152898770350080, 1268152966508351490, 1268152968169259008]",27
2,2020-06-03 14:10:06,"[1268152999685361664, 1268153029309710338, 1268153132552458243, 1268153146964049922, 1268153178350067721, 1268153187455959040, 1268153268628307974, 1268153283639685120, 1268153301872377856, 1268153302438547456, 1268153322617307137, 1268153337028976641, 1268153351067308032, 1268153379479568384, 1268153420634116096, 1268153464489758725, 1268153475633950720, 1268153514955542532, 1268153553274757120, 1268153701769805826, 1268153816274341890, 1268153829637468161, 1268153868988407808, 1268153878878523394, 1268153938244784130, 1268153972063428608, 1268154015675813888, 1268154077072031749, 1268154088941858816, 1268154164347113472, 1268154165223718912, 1268154199516250112]",32
3,2020-06-03 14:15:06,"[1268154280067977216, 1268154345364783114, 1268154348258971648, 1268154371117920256, 1268154427350945798, 1268154472234135552, 1268154502168928262, 1268154504207351808, 1268154566677270528, 1268154591792807936, 1268154640027262976, 1268154758763773956, 1268154796382486533, 1268154847448236032, 1268154854591119366, 1268155023189565440, 1268155055355629569, 1268155062783750144, 1268155096426217472, 1268155135362023424, 1268155164134985728, 1268155210448470023, 1268155367768416257, 1268155423665897472, 1268155449737654276, 1268155477705326592]",26
4,2020-06-03 14:20:06,"[1268155502648836096, 1268155511519748096, 1268155589047312385, 1268155590351769600, 1268155639949385728, 1268155731066392576, 1268155745385709573, 1268155840978173957, 1268155841716334595, 1268155871013543937, 1268155894170337286, 1268155902709940224, 1268155921596928000, 1268155924725796864, 1268155938760011777, 1268155951544250377, 1268156011778658304, 1268156045026824195, 1268156260291088385, 1268156316654190593, 1268156331053256706, 1268156445763264513, 1268156453266821122, 1268156474641076225, 1268156476880756739, 1268156517414510594, 1268156661786705921, 1268156701469020160, 1268156702219796482, 1268156731370147841, 1268156745765007366]",31
5,2020-06-03 14:25:06,"[1268156767697014785, 1268156779420098561, 1268156906666852353, 1268156954020642816, 1268157078004289536, 1268157154504081409, 1268157217469018112, 1268157238386085889, 1268157335949672448, 1268157363615420416, 1268157407563153408, 1268157511724605440, 1268157522592116737, 1268157578699255809, 1268157729790558208, 1268157742973431810, 1268157744412057600, 1268157762615365633, 1268157764829839361, 1268157784752902144, 1268157791002296323, 1268157897734868992, 1268157937207427073, 1268157977351069704, 1268157980916187137]",25
6,2020-06-03 14:30:06,"[1268158033042997254, 1268158053272215552, 1268158105973592064, 1268158160105324544, 1268158226182344704, 1268158340582068224, 1268158422987522050, 1268158434240876545, 1268158485889527810, 1268158560963383298, 1268158579913129984, 1268158583671336960, 1268158619121602562, 1268158695382364166, 1268158777213300738, 1268158807378714624, 1268158825066045445, 1268159007379935232, 1268159072576122880, 1268159079517749248, 1268159084613820417, 1268159237051604992]",22
7,2020-06-03 14:35:06,"[1268159512797683713, 1268159591285735430, 1268159648366018571, 1268159663134081024, 1268159703416295425, 1268159771347169285, 1268159809339170818, 1268159924338556928, 1268159926230298626, 1268160016462331904, 1268160033617063936, 1268160135844769793, 1268160143365230594, 1268160245731393536, 1268160285740797952, 1268160290853511168, 1268160346885443585, 1268160390116052998, 1268160430444249089, 1268160452921622530, 1268160461779976192]",21
8,2020-06-03 14:40:06,"[1268160569586192386, 1268160634413297664, 1268160656676618241, 1268160713404678145, 1268160735936471041, 1268160808548102144, 1268160979327746048, 1268160994913644545, 1268161025762824193, 1268161075146567684, 1268161181145075714, 1268161222991654915, 1268161272127918080, 1268161314804858880, 1268161317082476546, 1268161325441712131, 1268161406731530241, 1268161407692005433, 1268161431976976385, 1268161447584051206, 1268161492807024640, 1268161566610001920, 1268161579868135435]",23
9,2020-06-03 14:45:06,"[1268161837629157376, 1268161882562625540, 1268161907267178496, 1268161927383068672, 1268161995221729280, 1268162109361307648, 1268162166223495171, 1268162221470777344, 1268162229280612352, 1268162238025695238, 1268162355688542211, 1268162371064934400, 1268162397564518400, 1268162397983789056, 1268162463448600577, 1268162509661495296, 1268162629576638464, 1268162677257441280, 1268162704075882503, 1268162722589483008, 1268162751735750659, 1268162753161768960, 1268162805846478855, 1268162849886613504, 1268162856010342401, 1268162884674215937, 1268162941586677761, 1268162977141841921, 1268163002760658945]",29
10,2020-06-03 14:50:06,"[1268163069643014144, 1268163184088752129, 1268163331149438978, 1268163356642488324, 1268163412128915459, 1268163687048675332, 1268163769924018178, 1268163784104914949, 1268163786634133506, 1268163855743627264, 1268163861082968064, 1268163865172459520, 1268163873359757312, 1268163928963637248, 1268164017241104384, 1268164046303436801, 1268164116377673728, 1268164202528727041, 1268164239761510400, 1268164270715482119, 1268164273576042501, 1268164302671880195]",22
11,2020-06-03 14:55:06,"[1268164340018040832, 1268164364370141185, 1268164368321167361, 1268164403297431554, 1268164409341419521, 1268164415993544704, 1268164454660952065, 1268164463565459456, 1268164500752150528, 1268164522365407238, 1268164567961686022, 1268164650119696384, 1268164672013971456, 1268164746701832194, 1268164794701549568, 1268164822182629379, 1268164934514421761, 1268164960154198020, 1268165162734891013, 1268165175347220482, 1268165213058142214, 1268165258130141185, 1268165388921176065, 1268165525886156800]",24
12,2020-06-03 15:00:06,"[1268165574019948546, 1268165674838482945, 1268165775023620100, 1268165827091726336, 1268165874856443904, 1268165918124847104, 1268165985477017601, 1268165987548958720, 1268166007387979776, 1268166011477516289, 1268166031039770630, 1268166082675781635, 1268166091055992832, 1268166135423414273, 1268166186325422081, 1268166190716895234, 1268166297340334080, 1268166356240936961, 1268166427728543748, 1268166429406363650, 1268166458376441860, 1268166480996302848, 1268166581353406464, 1268166692879896577, 1268166740367872002, 1268166815022231553]",26
13,2020-06-03 15:05:06,"[1268166839135281159, 1268166869682466818, 1268166870705856512, 1268166900762189830, 1268166911713476608, 1268166911801597952, 1268166973537517568, 1268167108690616320, 1268167184699854848, 1268167250936291332, 1268167383119781888, 1268167427076034567, 1268167489818632193, 1268167561465737222, 1268167611260571650, 1268167614473388035, 1268167631745449984, 1268167642424193025, 1268167725815398412, 1268167757893378048, 1268167760883920896, 1268167781100503040, 1268167824951906305, 1268167851963269125, 1268167898201292804]",25
14,2020-06-03 15:10:06,"[1268168214300823553, 1268168240804646921, 1268168327823794176, 1268168442131161089, 1268168443217444874, 1268168460330250241, 1268168542173761536, 1268168700382887937, 1268168719626317824, 1268168737640906754, 1268168748688723974, 1268168950048788482, 1268169077312425986, 1268169120794771457, 1268169139677511680, 1268169157532618758, 1268169207822389248, 1268169225769750530]",18
15,2020-06-03 15:15:06,"[1268169430627954688, 1268169503483011072, 1268169525620625409, 1268169529521311746, 1268169538111180803, 1268169563042177024, 1268169636190859272, 1268169659410415619, 1268169706474741760, 1268169726284500992, 1268169826280718339, 1268169913534951430, 1268169922309435393, 1268169946275680258, 1268170133903679489, 1268170245803511809, 1268170404272668672, 1268170500976578561]",18
16,2020-06-03 15:20:06,"[1268170602646568960, 1268170616986877953, 1268170778350100482, 1268170817055215618, 1268170835640139776, 1268170839545053187, 1268170841575079936, 1268170925507325952, 1268170937507160067, 1268170964115865600, 1268171079064997890, 1268171103886815232, 1268171104323088389, 1268171248569397250, 1268171252117770245, 1268171401078493184, 1268171409295015936, 1268171509144735744, 1268171519911497728, 1268171533391998977, 1268171553746845697, 1268171644738174976, 1268171722282405889]",23
17,2020-06-03 15:25:06,"[1268171957616476160, 1268171980672503813, 1268172048356040704, 1268172091058241537, 1268172152714473474, 1268172351256121344, 1268172356985458690, 1268172655628300288, 1268172674204827650, 1268172757105356800, 1268172775136604162, 1268172812138811393, 1268172818975465472, 1268173049368641536, 1268173064128380933]",15
18,2020-06-03 15:30:06,"[1268173307209297921, 1268173310778650626, 1268173341992660998, 1268173361806483458, 1268173377837154304, 1268173390361264128, 1268173432707055616, 1268173459294691329, 1268173878490169345, 1268173900288012293, 1268173985377894400, 1268173988620046338, 1268174154139910153, 1268174163883233281, 1268174277985144832, 1268174311795437570, 1268174328694280193, 1268174341604343809]",18
19,2020-06-03 15:35:06,"[1268174372486995975, 1268174385023778816, 1268174389545259009, 1268174412035108869, 1268174454863134720, 1268174465596379136, 1268174507606409217, 1268174560282710019, 1268174665580675072, 1268174722568720384, 1268174747248070656, 1268174790843674625, 1268174828667842560, 1268174836016263168, 1268174859286315010, 1268174859768598529, 1268174859978379265, 1268174861987430400, 1268174911366971392, 1268175028572557317, 1268175091193479175, 1268175200996200450, 1268175202019692546, 1268175211670769671, 1268175224362729479, 1268175261297770496, 1268175285935013890, 1268175554181767173, 1268175578106155012]",29
20,2020-06-03 15:40:06,"[1268175665037180928, 1268175685304147970, 1268175707856932865, 1268175708750319616, 1268175730229350400, 1268175836101971968, 1268175884583940097, 1268175891697451009, 1268175912182448129, 1268175913331634176, 1268175929953652737, 1268175989533794308, 1268176161466650627, 1268176205813080064, 1268176209499893761, 1268176214155558912, 1268176327695269894, 1268176381260816386, 1268176485166260225, 1268176505055698944, 1268176538262016001, 1268176559065763840, 1268176582675509249, 1268176669220667394, 1268176690880155648, 1268176720261152769, 1268176821830537216]",27
21,2020-06-03 15:45:06,"[1268177070175199236, 1268177071316099072, 1268177102643384326, 1268177123648339968, 1268177124109803520, 1268177167311126528, 1268177193693261824, 1268177209707114499, 1268177214652153858, 1268177224441778176, 1268177233631481858, 1268177240069681154, 1268177273431240706, 1268177286592958464, 1268177317064564738, 1268177332986052608, 1268177344172302336, 1268177366888714242, 1268177395930091526, 1268177523810107394, 1268177528742699011, 1268177569213489161, 1268177581695799301, 1268177595679617025, 1268177657444868102, 1268177661416914954, 1268177732468445184, 1268177807882027008, 1268177839309885442, 1268177887456382980, 1268177917932195841, 1268177932138221569, 1268177984969728004, 1268177990116167684, 1268178018327035904, 1268178018645749763, 1268178061310255104, 1268178061322846210, 1268178125713702919]",39
22,2020-06-03 15:50:06,"[1268178180759851010, 1268178316458168321, 1268178391284346881, 1268178427858821122, 1268178434515181570, 1268178438436859904, 1268178465544691718, 1268178467394379778, 1268178478341464064, 1268178492115619841, 1268178545840357376, 1268178575368339456, 1268178588689403904, 1268178645505499138, 1268178664811831296, 1268178674840453120, 1268178678820884482, 1268178762232999936, 1268178786429931523, 1268178895884505091, 1268178923386527745, 1268178926561607681, 1268178973420371977, 1268179032862076928, 1268179059718131712, 1268179071722295296, 1268179091972403204, 1268179103200444416, 1268179204031553537, 1268179276949450752, 1268179292309110790, 1268179300618063881, 1268179316870918144, 1268179360940535808, 1268179367903068162, 1268179393538654208]",36
